@relation responses_discretized-weka.filters.unsupervised.attribute.Remove-R1

@attribute SalaryUSD {Low,'Very High',High,'Very Low',Mid}
@attribute Country {Sweden,USA,UK,Pakistan,Paraguay,India,Serbia-and-Montenegro,Germany,Canada,Dominican-Republic,Slovakia,Brazil,France,Poland,Romania,Ireland,South-Africa,Portugal,CostaRica,Israel,Argentina,Peru,Australia,Venezuela,Spain,Belgium,Malaysia,Netherlands,Russia,Italy,Finland,Turkey,Austria,New-Zealand,Honduras,UAE,Guernsey,Norway,Luxembourg,PuertoRico,Guatemala,Greece,Denmark,Lithuania,Ukraine,Philippines,Hungary,Estonia,Caymans,Croatia,Indonesia,Thailand,Switzerland,Slovenia,Bosnia,Cyprus,Bulgaria,Singapore,Colombia,Chile,Iceland,Macedonia,Jersey,Latvia,CzechRepublic,Mexico,Bangladesh,China,Iran,Qatar,Ecuador,Uruguay,SaudiArabia,Vanuatu,Taiwan,Maldives,Armenia,Swaziland,Georgia,HK,Syria,Bahrain,Moldova,Nicaragua,Jamaica,Malta,Jordan,Uganda,Belarus,Nepal,Ghana,ElSalvador,Albania,Bolivia,Vietnam,Bermuda,Kenya}
@attribute PrimaryDatabase {M,P,A,MA,O,MS,RDS,MDB,DB2,SQLI,C,SAP,T,E}
@attribute YearsWithThisDatabase numeric
@attribute EmploymentStatus {E,EC,IC,P,I}
@attribute JobTitle {D,DBAP,DBAG,M,DA,DT,A,DBAD,E,AN,DS,DBA,PDE,DO,T,DBS,C,SA,S,DBABI,SRC,AC}
@attribute ManageStaff {Y,N}
@attribute YearsWithThisTypeOfJob numeric
@attribute HowManyCompanies numeric
@attribute OtherPeopleOnYourTeam numeric
@attribute PopulationOfLargestCityWithin20Miles {t,m,C,c,T}
@attribute EmploymentSector {PB,E,SG,LG,NP,FG,S}
@attribute CareerPlansThisYear {S,C,SR,SE}
@attribute Gender {M,F,NB}
@attribute DatabaseServers numeric
@attribute Education {'Bachelors (4 years)','None (no degree completed)',Masters,'Associates (2 years)',Doctorate/PhD}
@attribute EducationIsComputerRelated {Yes,No}
@attribute Certifications {N,YesValid,YesExpired}
@attribute HoursWorkedPerWeek numeric
@attribute TelecommuteDaysPerWeek {zero,five,four,one,three,two}

@data
High,USA,M,10,E,E,N,4,?,2,?,PB,?,?,2,'Bachelors (4 years)',Yes,YesValid,40,zero
'Very Low',USA,M,3,E,?,Y,12,?,2,?,PB,?,?,5,'Associates (2 years)',No,N,50,zero
High,USA,M,6,EC,DT,N,6,?,2,?,PB,?,?,20,'Bachelors (4 years)',Yes,N,40,zero
Low,USA,M,15,E,DA,N,2,?,0,?,SG,?,?,3,'Bachelors (4 years)',Yes,N,40,zero
Mid,USA,M,17,E,DBA,N,12,?,6,?,PB,?,?,150,'Associates (2 years)',?,YesExpired,40,zero
'Very High',USA,M,16,EC,A,N,3,?,4,?,PB,?,?,20,'Bachelors (4 years)',Yes,YesExpired,50,three
Mid,USA,M,5,E,DBA,N,2,?,2,?,PB,?,?,75,'Bachelors (4 years)',Yes,N,40,one
'Very Low',Hungary,M,10,E,DT,N,6,?,0,?,PB,?,?,1,'None (no degree completed)',?,N,40,zero
Low,USA,M,15,E,M,Y,1,?,0,?,PB,?,?,300,'None (no degree completed)',?,N,45,zero
Low,USA,M,6,E,DBA,N,5,?,1,?,PB,?,?,20,'Bachelors (4 years)',Yes,YesValid,45,five
'Very High',USA,M,10,E,DBA,Y,5,?,2,?,PB,?,?,25,'Bachelors (4 years)',Yes,YesExpired,50,zero
'Very Low',Poland,M,7,E,DBA,N,1,?,4,?,PB,?,?,15,Masters,Yes,YesExpired,40,five
Low,USA,M,5,E,DBA,N,5,?,1,?,PB,?,?,5,'None (no degree completed)',?,YesExpired,45,two
Mid,USA,M,7,E,DBA,N,6,?,1,?,PB,?,?,29,Masters,No,YesExpired,40,zero
'Very High',USA,M,15,E,E,N,5,?,2,?,PB,?,?,200,'Bachelors (4 years)',No,N,40,one
High,USA,M,17,E,DT,N,3,?,6,?,PB,?,?,300,'None (no degree completed)',No,N,40,zero
High,USA,M,20,E,M,Y,3,?,0,?,SG,?,?,4,'Associates (2 years)',Yes,YesExpired,45,one
'Very Low',Hungary,M,6,E,DA,N,7,?,2,?,PB,?,?,5,'Bachelors (4 years)',Yes,N,40,one
'Very Low',Netherlands,M,19,EC,E,N,19,?,1,?,PB,?,?,500,'Bachelors (4 years)',?,YesValid,45,one
'Very High',USA,M,9,E,DA,Y,7,?,0,?,PB,?,?,9,'None (no degree completed)',?,N,42,five
Low,USA,M,5,E,D,N,1,?,0,?,PB,?,?,2,Masters,Yes,N,40,zero
Mid,USA,O,13,E,DBA,N,16,?,2,?,LG,?,?,35,Masters,Yes,N,40,zero
'Very High',USA,M,17,E,A,Y,2,?,2,?,PB,?,?,55,'Bachelors (4 years)',Yes,YesValid,50,one
'Very Low',Austria,M,11,E,M,Y,6,?,0,?,PB,?,?,30,'None (no degree completed)',Yes,YesValid,40,zero
High,USA,M,17,E,D,N,11,?,1,?,PB,?,?,22,Masters,No,N,50,two
'Very High',USA,M,16,E,DBA,N,1,?,2,?,PB,?,?,50,'None (no degree completed)',?,N,40,one
'Very Low',Kenya,M,5,E,DBA,N,10,?,0,?,PB,?,?,14,'Bachelors (4 years)',No,N,10,zero
'Very Low',India,M,10,E,M,Y,2,?,6,?,SG,?,?,100,Masters,No,YesExpired,40,zero
'Very Low',Spain,M,2,E,AN,Y,2,?,4,?,PB,?,?,50,'Bachelors (4 years)',Yes,YesExpired,40,one
High,USA,M,16,E,D,Y,1,?,1,?,PB,?,?,10,Masters,Yes,N,40,zero
'Very Low',Italy,M,6,E,DA,Y,6,?,6,?,PB,?,?,64,Masters,Yes,YesValid,40,zero
Mid,USA,O,7,E,DBA,N,7,?,3,?,PB,?,?,28,Masters,Yes,N,40,zero
Low,USA,M,12,E,DBA,N,5,?,1,?,PB,?,?,70,'Bachelors (4 years)',Yes,N,45,two
Mid,USA,M,18,E,DBA,N,17,?,2,?,SG,?,?,70,'Bachelors (4 years)',Yes,N,44,two
High,USA,M,10,E,DA,N,38,?,2,?,PB,?,?,15,'None (no degree completed)',?,N,45,zero
Mid,USA,O,4,EC,DBA,N,4,?,4,?,PB,?,?,150,Masters,Yes,N,40,zero
'Very High',USA,M,15,E,DBA,N,4,?,1,?,PB,?,?,60,'None (no degree completed)',?,YesValid,55,zero
Mid,USA,M,19,E,DBA,N,18,?,0,?,LG,?,?,5,Masters,Yes,N,40,zero
High,USA,M,20,E,DBA,N,8,?,3,?,LG,?,?,225,Doctorate/PhD,No,YesExpired,40,zero
Low,USA,M,4,E,DBA,Y,4,?,0,?,LG,?,?,3,'None (no degree completed)',?,N,40,zero
Mid,USA,M,20,E,DBA,N,20,?,5,?,PB,?,?,50,Masters,Yes,YesExpired,45,two
Low,USA,M,10,E,DBA,N,5,?,3,?,PB,?,?,60,'Associates (2 years)',No,N,50,three
Mid,USA,M,13,E,DBA,N,7,?,4,?,PB,?,?,100,Masters,Yes,YesValid,45,four
Mid,USA,M,8,E,DBA,N,6,?,0,?,PB,?,?,48,'Bachelors (4 years)',Yes,N,40,five
'Very High',USA,M,17,E,DBA,N,17,?,0,?,PB,?,?,15,'Bachelors (4 years)',Yes,YesExpired,40,one
'Very High',USA,M,6,E,DBA,N,6,?,0,?,PB,?,?,25,'Bachelors (4 years)',Yes,YesValid,45,one
Low,USA,M,4,E,DBA,N,5,?,0,?,PB,?,?,2,Masters,Yes,N,55,zero
Low,USA,M,10,E,DT,N,7,?,3,?,LG,?,?,10,'Bachelors (4 years)',Yes,N,48,zero
High,USA,M,13,E,M,Y,1,?,0,?,PB,?,?,5,'Bachelors (4 years)',Yes,N,42,zero
High,USA,M,17,EC,DBA,N,15,?,0,?,PB,?,?,10,Masters,Yes,N,40,zero
'Very Low',Brazil,M,9,E,DBA,N,5,?,6,?,SG,?,?,12,'Bachelors (4 years)',Yes,N,40,zero
Mid,USA,M,10,E,DBA,N,1,?,0,?,PB,?,?,10,'Bachelors (4 years)',Yes,YesExpired,40,zero
High,USA,M,7,E,E,N,4,?,6,?,PB,?,?,30,'Bachelors (4 years)',No,N,40,zero
Mid,Canada,M,17,E,DBA,N,3,?,0,?,PB,?,?,75,'Bachelors (4 years)',Yes,N,45,zero
Mid,USA,M,6,E,DT,N,6,?,6,?,PB,?,?,1,'None (no degree completed)',?,YesExpired,40,five
Mid,USA,M,15,E,DT,N,15,?,0,?,PB,?,?,185,'None (no degree completed)',?,YesExpired,40,zero
Low,USA,M,12,E,AN,N,12,?,6,?,PB,?,?,8,Masters,Yes,N,35,five
Low,USA,M,5,E,AN,Y,8,?,2,?,SG,?,?,4,'Associates (2 years)',Yes,YesExpired,60,two
Low,USA,M,10,E,DBA,Y,4,?,0,?,LG,?,?,10,Masters,Yes,N,40,zero
Low,USA,M,4,E,M,N,4,?,0,?,PB,?,?,1,'Associates (2 years)',Yes,N,45,zero
Mid,Denmark,M,8,E,DBA,N,0,?,3,?,PB,?,?,700,'Associates (2 years)',Yes,YesExpired,40,zero
'Very Low',USA,M,4,E,E,N,4,?,0,?,PB,?,?,10,'Bachelors (4 years)',No,YesExpired,50,two
'Very Low',USA,M,4,E,DA,N,5,?,1,?,PB,?,?,4,'Bachelors (4 years)',Yes,YesValid,45,zero
Low,Germany,M,6,E,DA,N,10,?,1,?,PB,?,?,25,Masters,Yes,N,42,zero
Low,Canada,M,7,E,DBA,N,7,?,0,?,PB,?,?,20,Masters,Yes,YesValid,35,zero
Mid,USA,M,14,E,DBA,N,3,?,0,?,PB,?,?,35,'None (no degree completed)',?,YesExpired,50,zero
High,USA,M,11,E,DBA,N,10,?,0,?,PB,?,?,10,'Bachelors (4 years)',Yes,YesExpired,50,zero
High,USA,M,10,E,A,Y,1,?,0,?,PB,?,?,10,'Bachelors (4 years)',Yes,N,50,two
High,USA,M,12,E,DBA,N,20,?,1,?,PB,?,?,110,'Bachelors (4 years)',No,YesExpired,40,one
Mid,USA,M,9,E,DBA,N,9,?,0,?,PB,?,?,50,'Bachelors (4 years)',Yes,YesExpired,40,five
Low,UK,M,16,E,D,Y,16,?,1,?,PB,?,?,3,'Bachelors (4 years)',Yes,YesValid,38,zero
'Very Low',Syria,M,2,E,DBA,Y,2,?,0,?,PB,?,?,3,'Associates (2 years)',Yes,N,48,zero
High,USA,M,20,E,DA,Y,22,?,0,?,PB,?,?,8,'None (no degree completed)',?,YesExpired,45,zero
Low,USA,M,20,I,DT,N,16,?,3,?,PB,?,?,6,'Bachelors (4 years)',Yes,N,25,two
Low,Germany,M,12,E,DA,N,13,?,1,?,PB,?,?,10,'None (no degree completed)',?,N,40,zero
High,USA,M,9,E,DBA,N,6,?,1,?,PB,?,?,8,'Bachelors (4 years)',Yes,YesExpired,45,zero
Low,USA,M,1,EC,AN,N,1,?,6,?,PB,?,?,1,'Bachelors (4 years)',No,N,40,zero
Low,New-Zealand,M,18,E,D,N,11,?,0,?,FG,?,?,15,'Bachelors (4 years)',Yes,N,40,one
Low,USA,M,6,E,DBA,N,4,?,2,?,PB,?,?,165,'Bachelors (4 years)',Yes,YesExpired,40,one
Mid,USA,M,8,E,DBA,N,1,?,2,?,PB,?,?,200,'Bachelors (4 years)',Yes,YesExpired,50,three
'Very High',USA,M,16,E,M,Y,10,?,6,?,PB,?,?,30,'Bachelors (4 years)',Yes,YesExpired,45,three
'Very High',USA,M,20,E,DBA,N,20,?,1,?,PB,?,?,140,Masters,No,YesExpired,45,zero
Low,USA,M,6,E,DBA,N,3,?,0,?,PB,?,?,5,'Bachelors (4 years)',Yes,N,40,zero
'Very High',USA,O,19,E,E,N,19,?,6,?,PB,?,?,40,'Bachelors (4 years)',Yes,YesExpired,40,four
Mid,Australia,M,17,E,DT,N,5,?,0,?,PB,?,?,35,'None (no degree completed)',?,N,40,zero
High,USA,M,15,E,DBA,N,18,?,0,?,PB,?,?,40,'Bachelors (4 years)',No,YesExpired,45,zero
'Very High',USA,M,16,E,A,Y,5,?,0,?,PB,?,?,50,'Bachelors (4 years)',Yes,YesValid,40,zero
Low,USA,M,5,E,D,N,3,?,1,?,PB,?,?,4,Masters,Yes,YesValid,40,zero
'Very Low',Canada,M,7,E,DA,N,7,?,5,?,LG,?,?,6,'Bachelors (4 years)',Yes,YesExpired,35,zero
Mid,USA,M,19,E,DBA,N,11,?,3,?,PB,?,?,100,'Associates (2 years)',No,YesExpired,55,one
High,USA,M,12,E,DT,N,12,?,0,?,FG,?,?,4,'Bachelors (4 years)',No,N,40,zero
'Very Low',India,M,6,E,DBA,N,6,?,3,?,PB,?,?,500,Masters,Yes,N,43,five
'Very Low',USA,M,1,E,AN,N,1,?,5,?,PB,?,?,4,'Bachelors (4 years)',No,N,45,zero
Low,USA,M,1,E,DBA,N,1,?,0,?,FG,?,?,2,'Associates (2 years)',No,YesValid,40,zero
'Very Low',USA,DB2,2,E,AN,N,3,?,6,?,PB,?,?,5,'Bachelors (4 years)',No,N,42,zero
'Very High',USA,M,17,E,A,Y,6,?,0,?,PB,?,?,5,Masters,No,N,60,zero
High,USA,M,13,E,DBA,N,6,?,6,?,PB,?,?,1100,'None (no degree completed)',?,YesValid,50,five
'Very High',USA,RDS,5,E,E,N,2,?,6,?,PB,?,?,100000,'Bachelors (4 years)',No,YesExpired,50,zero
'Very High',USA,M,16,E,DBA,N,2,?,3,?,PB,?,?,500,Masters,Yes,YesExpired,40,three
Low,USA,M,3,E,DBA,N,3,?,1,?,SG,?,?,28,'Bachelors (4 years)',Yes,N,40,two
Low,New-Zealand,M,15,E,AN,N,8,?,0,?,PB,?,?,7,Masters,No,N,40,zero
'Very High',USA,M,17,E,A,N,2,?,0,?,PB,?,?,28,'Bachelors (4 years)',No,N,50,zero
Mid,USA,M,21,E,DBA,N,6,?,0,?,PB,?,?,15,'Bachelors (4 years)',Yes,YesExpired,40,zero
High,USA,M,15,E,DBA,N,5,?,0,?,PB,?,?,2,Masters,No,N,45,five
'Very Low',India,M,2,E,DBA,N,5,?,2,?,PB,?,?,350,'Associates (2 years)',No,N,45,zero
Mid,USA,M,10,E,E,N,5,?,1,?,PB,?,?,12,Masters,Yes,YesValid,50,one
'Very Low',Netherlands,M,10,E,DBA,N,1,?,1,?,PB,?,?,15,'Associates (2 years)',Yes,N,40,three
'Very High',USA,M,15,E,M,Y,25,?,0,?,PB,?,?,15,'Bachelors (4 years)',Yes,N,50,zero
'Very Low',Bulgaria,M,13,E,DT,Y,5,?,0,?,PB,?,?,15,Masters,Yes,YesValid,45,zero
Low,Sweden,M,16,E,DBA,Y,5,?,5,?,PB,?,?,200,Masters,No,YesValid,42,zero
'Very Low',India,M,1,E,DBA,N,2,?,2,?,PB,?,?,2,'Bachelors (4 years)',No,N,40,zero
High,Norway,M,10,EC,DT,N,2,?,2,?,PB,?,?,5,Masters,Yes,N,37,zero
'Very Low',Belgium,O,10,E,DBA,N,10,?,6,?,PB,?,?,250,'Bachelors (4 years)',Yes,YesValid,45,zero
'Very Low',Sweden,M,3,E,DA,Y,3,?,6,?,PB,?,?,20,'Bachelors (4 years)',Yes,YesValid,45,one
'Very Low',Serbia-and-Montenegro,M,10,E,DA,Y,10,?,0,?,PB,?,?,5,Masters,Yes,N,40,zero
'Very Low',UK,O,8,E,DBA,N,3,?,1,?,PB,?,?,30,'None (no degree completed)',?,N,38,one
Mid,USA,O,20,E,DBA,N,15,?,1,?,PB,?,?,35,'Bachelors (4 years)',Yes,N,45,zero
'Very Low',UK,M,10,E,DBA,Y,25,?,1,?,SG,?,?,25,Masters,No,N,38,one
'Very Low',Sweden,M,3,E,DBA,N,3,?,0,?,LG,?,?,60,'Associates (2 years)',No,N,40,zero
Low,UK,O,15,E,DBA,Y,2,?,2,?,PB,?,?,60,Masters,Yes,YesExpired,42,one
'Very Low',UK,M,20,E,DT,N,1,?,1,?,PB,?,?,4,'Bachelors (4 years)',No,YesExpired,40,zero
'Very Low',Italy,M,20,EC,DBA,N,26,?,3,?,PB,?,?,200,'None (no degree completed)',?,YesExpired,45,zero
'Very Low',Romania,M,8,E,DBA,N,7,?,0,?,PB,?,?,6,'None (no degree completed)',?,YesValid,40,one
'Very High',USA,M,16,E,DBA,Y,4,?,0,?,PB,?,?,1200,'Associates (2 years)',No,YesExpired,50,zero
'Very Low',Serbia-and-Montenegro,P,5,E,DBA,N,9,?,1,?,PB,?,?,30,'Bachelors (4 years)',Yes,YesExpired,44,zero
'Very Low',Serbia-and-Montenegro,M,9,E,DBA,Y,2,?,1,?,PB,?,?,100,'None (no degree completed)',No,YesExpired,40,zero
Mid,USA,M,20,E,DBA,Y,15,?,1,?,PB,?,?,80,'Associates (2 years)',Yes,N,40,one
Mid,USA,M,15,E,DBA,Y,2,?,2,?,FG,?,?,8,'None (no degree completed)',?,YesValid,55,three
High,USA,M,16,E,DBA,N,16,?,5,?,PB,?,?,42,'Associates (2 years)',Yes,N,45,zero
'Very High',USA,O,12,E,DBA,N,8,?,5,?,PB,?,?,40,'Bachelors (4 years)',Yes,YesExpired,45,three
Low,USA,M,5,E,DBA,N,5,?,6,?,FG,?,?,300,'Bachelors (4 years)',Yes,YesValid,40,zero
High,USA,M,12,E,DBA,N,23,?,3,?,PB,?,?,120,'Bachelors (4 years)',Yes,N,40,zero
'Very Low',Germany,M,3,E,DBA,Y,5,?,1,?,PB,?,?,7,'None (no degree completed)',Yes,YesValid,40,zero
High,USA,M,10,E,DA,Y,7,?,5,?,PB,?,?,3,'Bachelors (4 years)',Yes,YesValid,45,zero
Mid,USA,O,4,E,AN,N,8,?,1,?,PB,?,?,10,'None (no degree completed)',?,N,40,zero
'Very Low',Germany,M,5,E,DBA,N,1,?,0,?,LG,?,?,70,'Bachelors (4 years)',?,N,40,zero
Mid,USA,M,12,E,DBA,N,12,?,0,?,PB,?,?,35,'Bachelors (4 years)',Yes,N,30,zero
High,USA,M,12,E,DBA,N,2,?,4,?,PB,?,?,125,'Bachelors (4 years)',Yes,N,40,zero
'Very Low',UK,M,6,E,DBA,N,3,?,0,?,PB,?,?,31,'None (no degree completed)',?,N,45,zero
'Very Low',Colombia,M,2,EC,DBA,N,2,?,6,?,PB,?,?,86,Masters,Yes,YesValid,48,zero
Low,USA,M,3,E,DT,N,3,?,0,?,PB,?,?,6,Masters,No,YesValid,40,zero
'Very High',USA,M,18,E,A,N,15,?,0,?,PB,?,?,4,'Bachelors (4 years)',No,N,40,five
Low,Germany,M,10,EC,E,N,12,?,3,?,PB,?,?,100,'None (no degree completed)',?,YesValid,45,zero
High,Switzerland,M,8,E,D,N,6,?,6,?,PB,?,?,8,Masters,Yes,YesExpired,42,one
'Very Low',UK,M,7,E,DBA,N,5,?,1,?,PB,?,?,50,'Bachelors (4 years)',Yes,N,35,zero
Mid,USA,M,17,E,DBA,N,3,?,3,?,LG,?,?,76,'Associates (2 years)',Yes,YesExpired,40,zero
'Very Low',USA,M,1,E,DBA,N,1,?,5,?,PB,?,?,12,'Associates (2 years)',Yes,N,50,one
Low,South-Africa,M,10,E,A,Y,10,?,2,?,PB,?,?,500,'Associates (2 years)',Yes,YesValid,40,zero
Low,USA,M,10,E,DBA,Y,1,?,1,?,LG,?,?,12,'Bachelors (4 years)',Yes,YesValid,40,zero
'Very High',USA,M,19,E,DBA,N,10,?,1,?,PB,?,?,50,'Bachelors (4 years)',No,YesExpired,40,one
'Very High',USA,M,16,E,A,Y,4,?,0,?,PB,?,?,10,'Associates (2 years)',No,N,60,one
'Very High',Switzerland,M,8,E,E,Y,1,?,2,?,PB,?,?,4,'Bachelors (4 years)',Yes,YesValid,45,zero
Low,USA,M,4,E,DBA,N,0,?,4,?,PB,?,?,300,'Associates (2 years)',?,N,50,four
Mid,USA,SAP,2,E,D,Y,2,?,0,?,PB,?,?,8,'Bachelors (4 years)',Yes,YesValid,40,zero
Low,Canada,M,2,E,DBA,N,11,?,3,?,PB,?,?,400,Masters,Yes,YesExpired,40,two
High,USA,M,7,E,DBA,N,7,?,0,?,PB,?,?,60,'Bachelors (4 years)',No,YesValid,45,zero
'Very Low',India,O,10,E,DBA,Y,3,?,0,?,PB,?,?,100,'Bachelors (4 years)',No,N,60,two
'Very High',USA,M,8,E,E,Y,5,?,3,?,PB,?,?,200,'Bachelors (4 years)',Yes,YesExpired,40,zero
High,Canada,M,7,E,M,Y,5,?,0,?,PB,?,?,40,'Bachelors (4 years)',Yes,YesExpired,50,five
Mid,USA,M,13,E,DBA,N,1,?,1,?,PB,?,?,50,'Bachelors (4 years)',Yes,YesValid,40,zero
'Very High',USA,P,3,E,M,Y,2,?,0,?,PB,?,?,4,'Bachelors (4 years)',Yes,N,45,zero
High,USA,M,15,E,M,Y,18,?,0,?,PB,?,?,4,'None (no degree completed)',?,N,55,zero
High,USA,M,16,E,DBA,N,7,?,0,?,PB,?,?,115,'Bachelors (4 years)',No,YesExpired,46,two
'Very High',USA,O,12,E,DBA,N,12,?,1,?,PB,?,?,3,'Bachelors (4 years)',Yes,YesExpired,45,zero
'Very High',USA,M,18,E,A,N,10,?,2,?,PB,?,?,20,'Bachelors (4 years)',No,YesExpired,40,five
Mid,USA,O,10,E,DA,N,10,?,6,?,PB,?,?,5,'Bachelors (4 years)',Yes,N,45,zero
Mid,USA,M,8,E,DT,N,4,?,3,?,PB,?,?,40,Masters,Yes,YesValid,37,one
High,USA,O,18,E,DBA,N,11,?,2,?,SG,?,?,10,'None (no degree completed)',?,YesExpired,40,zero
'Very High',USA,M,12,E,M,Y,1,?,1,?,PB,?,?,50,Masters,Yes,N,45,zero
High,Canada,M,20,E,DBA,N,6,?,6,?,SG,?,?,200,'Bachelors (4 years)',Yes,YesValid,40,zero
Mid,Ireland,M,15,E,DT,N,19,?,6,?,PB,?,?,21,'Bachelors (4 years)',Yes,YesExpired,50,zero
Mid,USA,M,8,EC,DBA,N,2,?,6,?,PB,?,?,300,Masters,No,YesExpired,45,zero
Low,USA,M,8,E,DBA,Y,1,?,0,?,SG,?,?,8,'Bachelors (4 years)',Yes,N,38,zero
Low,UK,M,12,E,DBA,N,6,?,0,?,PB,?,?,30,'Bachelors (4 years)',Yes,YesValid,38,one
Low,USA,M,5,E,DBA,N,4,?,6,?,PB,?,?,600,'Associates (2 years)',Yes,N,45,one
Mid,USA,M,6,EC,DBA,N,7,?,6,?,PB,?,?,200,'Bachelors (4 years)',No,N,45,three
Mid,USA,M,7,E,E,N,1,?,1,?,PB,?,?,20,'Associates (2 years)',Yes,N,40,zero
Mid,USA,M,17,E,DBA,N,5,?,2,?,PB,?,?,115,'Associates (2 years)',Yes,YesValid,50,zero
High,USA,M,21,E,DBA,Y,15,?,6,?,FG,?,?,125,'Bachelors (4 years)',Yes,N,45,one
Low,Australia,M,4,E,DBA,N,1,?,0,?,PB,?,?,25,'Bachelors (4 years)',Yes,YesExpired,40,one
'Very Low',South-Africa,M,10,E,DBA,N,10,?,6,?,PB,?,?,38,'Bachelors (4 years)',Yes,YesValid,40,zero
Low,USA,M,12,E,DBA,N,10,?,0,?,PB,?,?,2,'Associates (2 years)',?,N,45,zero
'Very Low',Russia,M,13,E,D,N,6,?,1,?,PB,?,?,10,Masters,Yes,N,50,zero
'Very Low',Russia,O,15,I,DBA,N,8,?,1,?,PB,?,?,10,Masters,Yes,YesValid,40,four
'Very Low',New-Zealand,M,6,E,DT,N,6,?,0,?,PB,?,?,12,'Bachelors (4 years)',Yes,N,40,zero
'Very Low',Sweden,M,1,E,DBA,N,1,?,3,?,LG,?,?,500,'Bachelors (4 years)',Yes,YesExpired,40,zero
'Very High',Germany,M,20,I,A,Y,22,?,6,?,PB,?,?,150,Masters,Yes,YesValid,60,three
Low,UK,M,16,E,A,Y,8,?,0,?,FG,?,?,6,'Bachelors (4 years)',No,N,43,zero
'Very Low',UK,M,15,E,DBA,N,30,?,0,?,PB,?,?,20,Masters,Yes,YesExpired,40,zero
'Very Low',India,M,10,E,DT,N,8,?,1,?,PB,?,?,4,'Bachelors (4 years)',Yes,YesValid,40,zero
'Very Low',Sweden,M,6,E,DBA,N,6,?,3,?,LG,?,?,300,'Bachelors (4 years)',Yes,N,38,zero
'Very Low',South-Africa,M,8,I,D,Y,2,?,1,?,PB,?,?,3,'None (no degree completed)',?,YesValid,40,two
'Very High',USA,M,17,E,A,N,5,?,0,?,PB,?,?,12,'Associates (2 years)',No,YesExpired,45,zero
Low,Austria,M,15,E,DBA,N,3,?,4,?,PB,?,?,50,'Bachelors (4 years)',?,N,50,zero
Low,Sweden,M,19,EC,DBA,Y,16,?,2,?,PB,?,?,20,'Bachelors (4 years)',No,N,40,zero
'Very Low',Spain,M,5,I,DBA,N,4,?,3,?,PB,?,?,15,Masters,Yes,YesValid,40,five
'Very Low',Croatia,M,6,E,DBA,N,6,?,6,?,PB,?,?,90,'Bachelors (4 years)',No,YesValid,50,five
Low,UK,M,10,E,D,N,5,?,3,?,PB,?,?,50,Masters,Yes,YesValid,40,zero
'Very High',USA,M,7,I,DS,N,3,?,0,?,PB,?,?,5,'Bachelors (4 years)',Yes,YesValid,40,five
Mid,Germany,M,18,E,A,N,18,?,5,?,PB,?,?,50,Masters,No,YesValid,40,one
Mid,USA,M,15,E,DBA,N,15,?,1,?,PB,?,?,15,'None (no degree completed)',?,N,50,zero
'Very High',Denmark,M,15,E,D,N,13,?,0,?,PB,?,?,25,'Associates (2 years)',?,YesExpired,38,zero
'Very High',USA,M,18,EC,DBA,Y,1,?,3,?,PB,?,?,30,'Bachelors (4 years)',No,YesExpired,40,zero
High,USA,M,8,E,E,N,3,?,1,?,PB,?,?,1000,'Bachelors (4 years)',No,YesValid,40,five
'Very High',USA,M,17,E,DBA,N,7,?,1,?,PB,?,?,30,Masters,No,YesExpired,50,zero
'Very Low',South-Africa,M,10,E,DBA,N,1,?,1,?,PB,?,?,50,'None (no degree completed)',No,YesExpired,50,zero
High,Germany,M,15,I,A,N,10,?,2,?,PB,?,?,30,Masters,?,YesValid,60,two
Mid,Ireland,M,7,E,DBA,N,8,?,4,?,PB,?,?,16,'None (no degree completed)',?,YesValid,38,zero
Low,USA,M,2,E,DBA,N,2,?,1,?,PB,?,?,8,'Bachelors (4 years)',Yes,YesValid,40,zero
Mid,USA,M,12,E,DT,N,2,?,1,?,PB,?,?,5,'Bachelors (4 years)',No,N,45,zero
High,USA,M,5,EC,D,N,4,?,6,?,PB,?,?,1,'Bachelors (4 years)',Yes,YesValid,40,five
Low,USA,M,25,E,DA,N,28,?,6,?,SG,?,?,20,'Bachelors (4 years)',Yes,YesValid,64,zero
Low,South-Africa,M,10,E,DBA,Y,5,?,0,?,PB,?,?,11000,'None (no degree completed)',?,YesValid,60,two
'Very Low',India,O,6,E,?,N,4,?,2,?,PB,?,?,40,Masters,Yes,YesValid,40,three
High,USA,M,15,E,DBA,N,10,?,1,?,PB,?,?,35,Masters,Yes,N,45,zero
High,USA,M,15,E,DT,Y,15,?,3,?,PB,?,?,30,'Bachelors (4 years)',Yes,N,40,five
'Very High',USA,M,12,EC,D,N,7,?,0,?,PB,?,?,20,Masters,Yes,YesExpired,40,zero
High,USA,M,17,E,DBA,N,10,?,0,?,PB,?,?,75,'Bachelors (4 years)',No,N,40,four
High,USA,M,5,E,D,N,2,?,0,?,PB,?,?,4,'Bachelors (4 years)',No,YesValid,40,zero
High,USA,M,4,E,DT,N,4,?,6,?,PB,?,?,4,Doctorate/PhD,No,N,45,zero
'Very Low',Canada,M,5,E,DA,N,5,?,6,?,PB,?,?,8,'Bachelors (4 years)',Yes,N,40,zero
'Very High',USA,M,17,EC,DBA,N,17,?,0,?,FG,?,?,5,'None (no degree completed)',?,YesValid,40,two
High,USA,M,10,E,DBA,N,2,?,1,?,PB,?,?,50,'Bachelors (4 years)',No,YesExpired,40,one
